fecha,t_min_media,t_min_minima,t_prom_media,hdd_semana,heladas,precip_total,enso,rendimiento_usd,perdida_pct,deficit_temp
2015-01-04,11.265,9.78,15.2425,0.0,0,20.060000000000002,0.23424999999999999,16455.51,-2.85,1.2650000000000006
2015-01-11,8.205714285714285,3.45,11.955714285714285,2.9887,0,30.6,0.14285714285714285,15762.55,1.48,-1.7942857142857154
2015-01-18,9.947142857142856,7.11,13.962857142857143,0.0,0,13.76,0.15071428571428572,16732.84,-4.58,-0.05285714285714427
2015-01-25,8.394285714285713,4.97,12.468571428571428,1.0919,0,53.15,0.214,17976.89,-12.36,-1.6057142857142868
2015-02-01,5.394285714285715,1.88,9.945714285714287,6.1793,1,31.24,0.2822857142857143,14213.55,11.17,-4.605714285714285
2015-02-08,6.477142857142858,4.52,11.129999999999999,1.6885,0,21.240000000000002,0.31071428571428567,15707.76,1.83,-3.5228571428571422
2015-02-15,9.137142857142857,7.74,13.728571428571428,0.0,0,32.33,0.31542857142857145,17722.77,-10.77,-0.862857142857143
2015-02-22,6.854285714285714,2.98,11.145714285714286,3.6312,0,30.51,0.3338571428571429,17272.37,-7.95,-3.145714285714286
2015-03-01,10.824285714285713,9.12,15.198571428571428,0.0,0,19.28,0.334,16037.83,-0.24,0.824285714285713
2015-03-08,8.381428571428572,4.92,12.530000000000001,1.252,0,24.22,0.3645714285714286,16433.11,-2.71,-1.6185714285714283
2015-03-15,5.501428571428571,3.21,10.175714285714287,5.1315,0,4.38,0.3918571428571429,15113.83,5.54,-4.498571428571429
2015-03-22,8.121428571428572,6.07,12.642857142857142,0.0,0,9.67,0.4167142857142857,15094.4,5.66,-1.8785714285714281
2015-03-29,9.092857142857143,7.66,13.388571428571428,0.0,0,14.91,0.4382857142857143,15732.38,1.67,-0.9071428571428566
2015-04-05,9.584285714285715,8.25,14.388571428571428,0.0,0,25.21,0.45528571428571435,13428.8,16.07,-0.4157142857142855
2015-04-12,5.782857142857142,3.8,10.11,6.1513,0,11.190000000000001,0.4878571428571429,12080.41,24.5,-4.217142857142858
2015-04-19,6.658571428571428,3.74,11.008571428571429,2.1771,0,49.03,0.5001428571428571,13443.31,15.98,-3.3414285714285716
2015-04-26,6.640000000000001,4.88,11.034285714285714,1.1777,0,14.23,0.5178571428571429,13441.59,15.99,-3.3599999999999994
2015-05-03,8.824285714285715,5.72,13.015714285714285,0.0,0,14.48,0.5435714285714286,15084.54,5.72,-1.1757142857142853
2015-05-10,9.052857142857142,5.31,13.751428571428571,0.1516,0,24.55,0.5498571428571429,14302.38,10.61,-0.9471428571428575
2015-05-17,6.792857142857144,2.01,11.075714285714286,4.827,0,59.95,0.5547142857142858,12952.44,19.05,-3.2071428571428564
2015-05-24,11.501428571428573,8.95,15.712857142857143,0.0,0,29.66,0.5564285714285715,16387.93,-2.42,1.5014285714285727
2015-05-31,12.421428571428573,11.25,16.61285714285714,0.0,0,14.290000000000001,0.5650000000000001,15714.87,1.78,2.4214285714285726
2015-06-07,15.337142857142856,14.17,19.09857142857143,0.0,0,22.9,0.5785714285714285,15758.13,1.51,5.337142857142856
2015-06-14,9.43142857142857,5.69,13.448571428571428,0.496,0,49.510000000000005,0.594,13939.12,12.88,-0.5685714285714294
2015-06-21,11.18857142857143,5.36,14.89,1.5115,0,33.63,0.6111428571428571,14103.53,11.85,1.1885714285714304
2015-06-28,13.224285714285713,10.44,16.592857142857145,0.0,0,58.81,0.6122857142857142,15135.15,5.41,3.2242857142857133
2015-07-05,10.587142857142856,9.05,14.517142857142858,0.0,0,18.84,0.6244285714285714,14020.28,12.37,0.5871428571428563
